query,clicks,impressions,ctr,position
astrologie chat,0,3,0,26.33
tchat horoscope,0,3,0,37
zodiac chat,0,3,0,6.67
ai zodiac,0,2,0,42.5
zodiac ai,0,2,0,28
zodiac com,0,2,0,49.5
zodiacap7,0,2,0,11
fake horoscope maker,1,1,1,7
horoscope chat,0,1,0,50
zodiac chats,0,1,0,10
zodiac talk,0,1,0,42
zodiac28,0,1,0,27
zodiask,0,1,0,40
